"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Read/Get board by ID","642","testGetBoard","RegressionTests","Fri Jan 09 22:13:58 UTC 2026","passed","Fri Jan 09 22:13:59 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetBoard"
"Delete already deleted board - negative test","1124","testDeleteAlreadyDeletedBoard","RegressionTests","Fri Jan 09 22:13:56 UTC 2026","passed","Fri Jan 09 22:13:57 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteAlreadyDeletedBoard"
"Get non-existent board - negative test","159","testGetNonExistentBoard","RegressionTests","Fri Jan 09 22:13:59 UTC 2026","failed","Fri Jan 09 22:13:59 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetNonExistentBoard"
"Create board with valid name","3036","testCreateBoard","RegressionTests","Fri Jan 09 22:13:53 UTC 2026","passed","Fri Jan 09 22:13:56 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoard"
"Update board name and description","660","testUpdateBoard","RegressionTests","Fri Jan 09 22:13:59 UTC 2026","passed","Fri Jan 09 22:14:00 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testUpdateBoard"
"Create board with empty name - negative test","160","testCreateBoardWithEmptyName","RegressionTests","Fri Jan 09 22:13:56 UTC 2026","passed","Fri Jan 09 22:13:56 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoardWithEmptyName"
"Delete board by ID","1247","testDeleteBoard","RegressionTests","Fri Jan 09 22:13:57 UTC 2026","passed","Fri Jan 09 22:13:58 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteBoard"
