"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get non-existent board - negative test","196","testGetNonExistentBoard","RegressionTests","Fri Apr 03 22:24:43 UTC 2026","failed","Fri Apr 03 22:24:43 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetNonExistentBoard"
"Update board name and description","729","testUpdateBoard","RegressionTests","Fri Apr 03 22:24:43 UTC 2026","passed","Fri Apr 03 22:24:44 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testUpdateBoard"
"Delete board by ID","1180","testDeleteBoard","RegressionTests","Fri Apr 03 22:24:41 UTC 2026","passed","Fri Apr 03 22:24:42 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteBoard"
"Read/Get board by ID","581","testGetBoard","RegressionTests","Fri Apr 03 22:24:42 UTC 2026","passed","Fri Apr 03 22:24:43 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetBoard"
"Create board with valid name","1928","testCreateBoard","RegressionTests","Fri Apr 03 22:24:38 UTC 2026","passed","Fri Apr 03 22:24:40 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoard"
"Delete already deleted board - negative test","1255","testDeleteAlreadyDeletedBoard","RegressionTests","Fri Apr 03 22:24:40 UTC 2026","passed","Fri Apr 03 22:24:41 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteAlreadyDeletedBoard"
"Create board with empty name - negative test","214","testCreateBoardWithEmptyName","RegressionTests","Fri Apr 03 22:24:40 UTC 2026","passed","Fri Apr 03 22:24:40 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoardWithEmptyName"
