"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Create board with empty name - negative test","80","testCreateBoardWithEmptyName","RegressionTests","Sun May 10 22:37:44 UTC 2026","passed","Sun May 10 22:37:44 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoardWithEmptyName"
"Delete already deleted board - negative test","974","testDeleteAlreadyDeletedBoard","RegressionTests","Sun May 10 22:37:44 UTC 2026","passed","Sun May 10 22:37:45 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteAlreadyDeletedBoard"
"Update board name and description","522","testUpdateBoard","RegressionTests","Sun May 10 22:37:47 UTC 2026","passed","Sun May 10 22:37:47 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testUpdateBoard"
"Read/Get board by ID","386","testGetBoard","RegressionTests","Sun May 10 22:37:46 UTC 2026","passed","Sun May 10 22:37:47 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetBoard"
"Get non-existent board - negative test","84","testGetNonExistentBoard","RegressionTests","Sun May 10 22:37:47 UTC 2026","failed","Sun May 10 22:37:47 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetNonExistentBoard"
"Create board with valid name","1766","testCreateBoard","RegressionTests","Sun May 10 22:37:42 UTC 2026","passed","Sun May 10 22:37:44 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoard"
"Delete board by ID","936","testDeleteBoard","RegressionTests","Sun May 10 22:37:45 UTC 2026","passed","Sun May 10 22:37:46 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteBoard"
