"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Create board with empty name - negative test","96","testCreateBoardWithEmptyName","RegressionTests","Tue Apr 28 22:47:43 UTC 2026","passed","Tue Apr 28 22:47:43 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoardWithEmptyName"
"Get non-existent board - negative test","91","testGetNonExistentBoard","RegressionTests","Tue Apr 28 22:47:45 UTC 2026","failed","Tue Apr 28 22:47:46 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetNonExistentBoard"
"Delete board by ID","873","testDeleteBoard","RegressionTests","Tue Apr 28 22:47:44 UTC 2026","passed","Tue Apr 28 22:47:45 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteBoard"
"Delete already deleted board - negative test","883","testDeleteAlreadyDeletedBoard","RegressionTests","Tue Apr 28 22:47:43 UTC 2026","passed","Tue Apr 28 22:47:44 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteAlreadyDeletedBoard"
"Create board with valid name","1836","testCreateBoard","RegressionTests","Tue Apr 28 22:47:41 UTC 2026","passed","Tue Apr 28 22:47:43 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoard"
"Read/Get board by ID","383","testGetBoard","RegressionTests","Tue Apr 28 22:47:45 UTC 2026","passed","Tue Apr 28 22:47:45 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetBoard"
"Update board name and description","537","testUpdateBoard","RegressionTests","Tue Apr 28 22:47:46 UTC 2026","passed","Tue Apr 28 22:47:46 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testUpdateBoard"
