"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Delete board by ID","1307","testDeleteBoard","RegressionTests","Thu Jun 25 23:09:12 UTC 2026","passed","Thu Jun 25 23:09:13 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteBoard"
"Delete already deleted board - negative test","1049","testDeleteAlreadyDeletedBoard","RegressionTests","Thu Jun 25 23:09:11 UTC 2026","passed","Thu Jun 25 23:09:12 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteAlreadyDeletedBoard"
"Create board with valid name","1867","testCreateBoard","RegressionTests","Thu Jun 25 23:09:09 UTC 2026","passed","Thu Jun 25 23:09:10 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoard"
"Update board name and description","991","testUpdateBoard","RegressionTests","Thu Jun 25 23:09:14 UTC 2026","passed","Thu Jun 25 23:09:15 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testUpdateBoard"
"Create board with empty name - negative test","105","testCreateBoardWithEmptyName","RegressionTests","Thu Jun 25 23:09:11 UTC 2026","passed","Thu Jun 25 23:09:11 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoardWithEmptyName"
"Read/Get board by ID","458","testGetBoard","RegressionTests","Thu Jun 25 23:09:13 UTC 2026","passed","Thu Jun 25 23:09:13 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetBoard"
"Get non-existent board - negative test","94","testGetNonExistentBoard","RegressionTests","Thu Jun 25 23:09:13 UTC 2026","failed","Thu Jun 25 23:09:14 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetNonExistentBoard"
