"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Delete already deleted board - negative test","1255","testDeleteAlreadyDeletedBoard","RegressionTests","Tue Feb 17 22:22:02 UTC 2026","passed","Tue Feb 17 22:22:03 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteAlreadyDeletedBoard"
"Create board with empty name - negative test","172","testCreateBoardWithEmptyName","RegressionTests","Tue Feb 17 22:22:01 UTC 2026","passed","Tue Feb 17 22:22:02 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoardWithEmptyName"
"Create board with valid name","2014","testCreateBoard","RegressionTests","Tue Feb 17 22:21:59 UTC 2026","passed","Tue Feb 17 22:22:01 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoard"
"Get non-existent board - negative test","161","testGetNonExistentBoard","RegressionTests","Tue Feb 17 22:22:05 UTC 2026","failed","Tue Feb 17 22:22:05 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetNonExistentBoard"
"Update board name and description","684","testUpdateBoard","RegressionTests","Tue Feb 17 22:22:05 UTC 2026","passed","Tue Feb 17 22:22:06 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testUpdateBoard"
"Read/Get board by ID","550","testGetBoard","RegressionTests","Tue Feb 17 22:22:04 UTC 2026","passed","Tue Feb 17 22:22:05 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetBoard"
"Delete board by ID","1216","testDeleteBoard","RegressionTests","Tue Feb 17 22:22:03 UTC 2026","passed","Tue Feb 17 22:22:04 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteBoard"
