"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get non-existent board - negative test","156","testGetNonExistentBoard","RegressionTests","Tue Mar 03 22:20:59 UTC 2026","failed","Tue Mar 03 22:21:00 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetNonExistentBoard"
"Read/Get board by ID","550","testGetBoard","RegressionTests","Tue Mar 03 22:20:59 UTC 2026","passed","Tue Mar 03 22:20:59 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetBoard"
"Create board with valid name","2242","testCreateBoard","RegressionTests","Tue Mar 03 22:20:54 UTC 2026","passed","Tue Mar 03 22:20:56 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoard"
"Create board with empty name - negative test","152","testCreateBoardWithEmptyName","RegressionTests","Tue Mar 03 22:20:56 UTC 2026","passed","Tue Mar 03 22:20:56 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoardWithEmptyName"
"Update board name and description","695","testUpdateBoard","RegressionTests","Tue Mar 03 22:21:00 UTC 2026","passed","Tue Mar 03 22:21:00 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testUpdateBoard"
"Delete already deleted board - negative test","1214","testDeleteAlreadyDeletedBoard","RegressionTests","Tue Mar 03 22:20:56 UTC 2026","passed","Tue Mar 03 22:20:58 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteAlreadyDeletedBoard"
"Delete board by ID","1136","testDeleteBoard","RegressionTests","Tue Mar 03 22:20:58 UTC 2026","passed","Tue Mar 03 22:20:59 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteBoard"
