"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get non-existent board - negative test","91","testGetNonExistentBoard","RegressionTests","Mon May 25 22:52:52 UTC 2026","failed","Mon May 25 22:52:52 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetNonExistentBoard"
"Delete board by ID","1106","testDeleteBoard","RegressionTests","Mon May 25 22:52:50 UTC 2026","passed","Mon May 25 22:52:51 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteBoard"
"Create board with empty name - negative test","85","testCreateBoardWithEmptyName","RegressionTests","Mon May 25 22:52:49 UTC 2026","passed","Mon May 25 22:52:49 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoardWithEmptyName"
"Update board name and description","613","testUpdateBoard","RegressionTests","Mon May 25 22:52:52 UTC 2026","passed","Mon May 25 22:52:52 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testUpdateBoard"
"Read/Get board by ID","409","testGetBoard","RegressionTests","Mon May 25 22:52:51 UTC 2026","passed","Mon May 25 22:52:52 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetBoard"
"Create board with valid name","1838","testCreateBoard","RegressionTests","Mon May 25 22:52:47 UTC 2026","passed","Mon May 25 22:52:49 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoard"
"Delete already deleted board - negative test","951","testDeleteAlreadyDeletedBoard","RegressionTests","Mon May 25 22:52:49 UTC 2026","passed","Mon May 25 22:52:50 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteAlreadyDeletedBoard"
