"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Delete board by ID","985","testDeleteBoard","RegressionTests","Tue Dec 09 22:14:06 UTC 2025","passed","Tue Dec 09 22:14:07 UTC 2025","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteBoard"
"Get non-existent board - negative test","87","testGetNonExistentBoard","RegressionTests","Tue Dec 09 22:14:07 UTC 2025","failed","Tue Dec 09 22:14:07 UTC 2025","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetNonExistentBoard"
"Create board with valid name","3322","testCreateBoard","RegressionTests","Tue Dec 09 22:14:01 UTC 2025","passed","Tue Dec 09 22:14:04 UTC 2025","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoard"
"Read/Get board by ID","503","testGetBoard","RegressionTests","Tue Dec 09 22:14:07 UTC 2025","passed","Tue Dec 09 22:14:07 UTC 2025","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetBoard"
"Delete already deleted board - negative test","1035","testDeleteAlreadyDeletedBoard","RegressionTests","Tue Dec 09 22:14:05 UTC 2025","passed","Tue Dec 09 22:14:06 UTC 2025","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteAlreadyDeletedBoard"
"Update board name and description","672","testUpdateBoard","RegressionTests","Tue Dec 09 22:14:07 UTC 2025","passed","Tue Dec 09 22:14:08 UTC 2025","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testUpdateBoard"
"Create board with empty name - negative test","95","testCreateBoardWithEmptyName","RegressionTests","Tue Dec 09 22:14:04 UTC 2025","passed","Tue Dec 09 22:14:05 UTC 2025","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoardWithEmptyName"
