"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Read/Get board by ID","492","testGetBoard","RegressionTests","Sun Jun 14 23:00:22 UTC 2026","passed","Sun Jun 14 23:00:23 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetBoard"
"Update board name and description","1083","testUpdateBoard","RegressionTests","Sun Jun 14 23:00:23 UTC 2026","passed","Sun Jun 14 23:00:24 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testUpdateBoard"
"Create board with valid name","2243","testCreateBoard","RegressionTests","Sun Jun 14 23:00:17 UTC 2026","passed","Sun Jun 14 23:00:19 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoard"
"Create board with empty name - negative test","86","testCreateBoardWithEmptyName","RegressionTests","Sun Jun 14 23:00:19 UTC 2026","passed","Sun Jun 14 23:00:19 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoardWithEmptyName"
"Get non-existent board - negative test","99","testGetNonExistentBoard","RegressionTests","Sun Jun 14 23:00:23 UTC 2026","failed","Sun Jun 14 23:00:23 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetNonExistentBoard"
"Delete already deleted board - negative test","1518","testDeleteAlreadyDeletedBoard","RegressionTests","Sun Jun 14 23:00:19 UTC 2026","passed","Sun Jun 14 23:00:20 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteAlreadyDeletedBoard"
"Delete board by ID","1716","testDeleteBoard","RegressionTests","Sun Jun 14 23:00:20 UTC 2026","passed","Sun Jun 14 23:00:22 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteBoard"
