"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Read/Get board by ID","690","testGetBoard","RegressionTests","Mon Jun 22 23:13:11 UTC 2026","passed","Mon Jun 22 23:13:12 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetBoard"
"Create board with empty name - negative test","186","testCreateBoardWithEmptyName","RegressionTests","Mon Jun 22 23:13:08 UTC 2026","passed","Mon Jun 22 23:13:08 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoardWithEmptyName"
"Delete already deleted board - negative test","1360","testDeleteAlreadyDeletedBoard","RegressionTests","Mon Jun 22 23:13:08 UTC 2026","passed","Mon Jun 22 23:13:10 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteAlreadyDeletedBoard"
"Delete board by ID","1244","testDeleteBoard","RegressionTests","Mon Jun 22 23:13:10 UTC 2026","passed","Mon Jun 22 23:13:11 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteBoard"
"Update board name and description","780","testUpdateBoard","RegressionTests","Mon Jun 22 23:13:12 UTC 2026","passed","Mon Jun 22 23:13:13 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testUpdateBoard"
"Get non-existent board - negative test","188","testGetNonExistentBoard","RegressionTests","Mon Jun 22 23:13:12 UTC 2026","failed","Mon Jun 22 23:13:12 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetNonExistentBoard"
"Create board with valid name","2156","testCreateBoard","RegressionTests","Mon Jun 22 23:13:06 UTC 2026","passed","Mon Jun 22 23:13:08 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoard"
