"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Delete already deleted board - negative test","975","testDeleteAlreadyDeletedBoard","RegressionTests","Tue Apr 21 22:31:31 UTC 2026","passed","Tue Apr 21 22:31:32 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteAlreadyDeletedBoard"
"Create board with empty name - negative test","99","testCreateBoardWithEmptyName","RegressionTests","Tue Apr 21 22:31:31 UTC 2026","passed","Tue Apr 21 22:31:31 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoardWithEmptyName"
"Read/Get board by ID","452","testGetBoard","RegressionTests","Tue Apr 21 22:31:33 UTC 2026","passed","Tue Apr 21 22:31:34 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetBoard"
"Get non-existent board - negative test","113","testGetNonExistentBoard","RegressionTests","Tue Apr 21 22:31:34 UTC 2026","failed","Tue Apr 21 22:31:34 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetNonExistentBoard"
"Update board name and description","694","testUpdateBoard","RegressionTests","Tue Apr 21 22:31:34 UTC 2026","passed","Tue Apr 21 22:31:35 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testUpdateBoard"
"Create board with valid name","2280","testCreateBoard","RegressionTests","Tue Apr 21 22:31:29 UTC 2026","passed","Tue Apr 21 22:31:31 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoard"
"Delete board by ID","1120","testDeleteBoard","RegressionTests","Tue Apr 21 22:31:32 UTC 2026","passed","Tue Apr 21 22:31:33 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteBoard"
