"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Create board with empty name - negative test","138","testCreateBoardWithEmptyName","RegressionTests","Sat Jun 20 22:58:53 UTC 2026","passed","Sat Jun 20 22:58:53 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoardWithEmptyName"
"Delete board by ID","1016","testDeleteBoard","RegressionTests","Sat Jun 20 22:58:54 UTC 2026","passed","Sat Jun 20 22:58:55 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteBoard"
"Update board name and description","632","testUpdateBoard","RegressionTests","Sat Jun 20 22:58:56 UTC 2026","passed","Sat Jun 20 22:58:56 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testUpdateBoard"
"Delete already deleted board - negative test","1084","testDeleteAlreadyDeletedBoard","RegressionTests","Sat Jun 20 22:58:53 UTC 2026","passed","Sat Jun 20 22:58:54 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteAlreadyDeletedBoard"
"Create board with valid name","1961","testCreateBoard","RegressionTests","Sat Jun 20 22:58:51 UTC 2026","passed","Sat Jun 20 22:58:53 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoard"
"Read/Get board by ID","526","testGetBoard","RegressionTests","Sat Jun 20 22:58:55 UTC 2026","passed","Sat Jun 20 22:58:55 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetBoard"
"Get non-existent board - negative test","135","testGetNonExistentBoard","RegressionTests","Sat Jun 20 22:58:55 UTC 2026","failed","Sat Jun 20 22:58:56 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetNonExistentBoard"
