"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Create board with empty name - negative test","196","testCreateBoardWithEmptyName","RegressionTests","Tue Jun 23 23:00:51 UTC 2026","passed","Tue Jun 23 23:00:51 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoardWithEmptyName"
"Delete already deleted board - negative test","1592","testDeleteAlreadyDeletedBoard","RegressionTests","Tue Jun 23 23:00:51 UTC 2026","passed","Tue Jun 23 23:00:52 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteAlreadyDeletedBoard"
"Get non-existent board - negative test","187","testGetNonExistentBoard","RegressionTests","Tue Jun 23 23:00:55 UTC 2026","failed","Tue Jun 23 23:00:55 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetNonExistentBoard"
"Read/Get board by ID","895","testGetBoard","RegressionTests","Tue Jun 23 23:00:54 UTC 2026","passed","Tue Jun 23 23:00:55 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetBoard"
"Create board with valid name","1494","testCreateBoard","RegressionTests","Tue Jun 23 23:00:49 UTC 2026","passed","Tue Jun 23 23:00:51 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoard"
"Update board name and description","891","testUpdateBoard","RegressionTests","Tue Jun 23 23:00:55 UTC 2026","passed","Tue Jun 23 23:00:56 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testUpdateBoard"
"Delete board by ID","1376","testDeleteBoard","RegressionTests","Tue Jun 23 23:00:52 UTC 2026","passed","Tue Jun 23 23:00:54 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteBoard"
