"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Delete board by ID","1202","testDeleteBoard","RegressionTests","Sun Jun 28 22:55:33 UTC 2026","passed","Sun Jun 28 22:55:34 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteBoard"
"Delete already deleted board - negative test","1526","testDeleteAlreadyDeletedBoard","RegressionTests","Sun Jun 28 22:55:31 UTC 2026","passed","Sun Jun 28 22:55:33 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteAlreadyDeletedBoard"
"Create board with empty name - negative test","92","testCreateBoardWithEmptyName","RegressionTests","Sun Jun 28 22:55:31 UTC 2026","passed","Sun Jun 28 22:55:31 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoardWithEmptyName"
"Create board with valid name","1935","testCreateBoard","RegressionTests","Sun Jun 28 22:55:29 UTC 2026","passed","Sun Jun 28 22:55:31 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoard"
"Get non-existent board - negative test","110","testGetNonExistentBoard","RegressionTests","Sun Jun 28 22:55:34 UTC 2026","failed","Sun Jun 28 22:55:34 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetNonExistentBoard"
"Read/Get board by ID","473","testGetBoard","RegressionTests","Sun Jun 28 22:55:34 UTC 2026","passed","Sun Jun 28 22:55:34 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetBoard"
"Update board name and description","678","testUpdateBoard","RegressionTests","Sun Jun 28 22:55:34 UTC 2026","passed","Sun Jun 28 22:55:35 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testUpdateBoard"
