"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Read/Get board by ID","554","testGetBoard","RegressionTests","Wed Jun 03 23:27:10 UTC 2026","passed","Wed Jun 03 23:27:11 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetBoard"
"Delete already deleted board - negative test","1058","testDeleteAlreadyDeletedBoard","RegressionTests","Wed Jun 03 23:27:08 UTC 2026","passed","Wed Jun 03 23:27:09 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteAlreadyDeletedBoard"
"Create board with valid name","1925","testCreateBoard","RegressionTests","Wed Jun 03 23:27:06 UTC 2026","passed","Wed Jun 03 23:27:08 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoard"
"Get non-existent board - negative test","158","testGetNonExistentBoard","RegressionTests","Wed Jun 03 23:27:11 UTC 2026","failed","Wed Jun 03 23:27:11 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetNonExistentBoard"
"Update board name and description","605","testUpdateBoard","RegressionTests","Wed Jun 03 23:27:11 UTC 2026","passed","Wed Jun 03 23:27:12 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testUpdateBoard"
"Delete board by ID","1105","testDeleteBoard","RegressionTests","Wed Jun 03 23:27:09 UTC 2026","passed","Wed Jun 03 23:27:10 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteBoard"
"Create board with empty name - negative test","158","testCreateBoardWithEmptyName","RegressionTests","Wed Jun 03 23:27:08 UTC 2026","passed","Wed Jun 03 23:27:08 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoardWithEmptyName"
