"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Delete board by ID","1022","testDeleteBoard","RegressionTests","Sat May 30 22:50:40 UTC 2026","passed","Sat May 30 22:50:41 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteBoard"
"Create board with empty name - negative test","140","testCreateBoardWithEmptyName","RegressionTests","Sat May 30 22:50:39 UTC 2026","passed","Sat May 30 22:50:39 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoardWithEmptyName"
"Read/Get board by ID","568","testGetBoard","RegressionTests","Sat May 30 22:50:41 UTC 2026","passed","Sat May 30 22:50:41 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetBoard"
"Get non-existent board - negative test","135","testGetNonExistentBoard","RegressionTests","Sat May 30 22:50:41 UTC 2026","failed","Sat May 30 22:50:41 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetNonExistentBoard"
"Update board name and description","614","testUpdateBoard","RegressionTests","Sat May 30 22:50:41 UTC 2026","passed","Sat May 30 22:50:42 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testUpdateBoard"
"Delete already deleted board - negative test","983","testDeleteAlreadyDeletedBoard","RegressionTests","Sat May 30 22:50:39 UTC 2026","passed","Sat May 30 22:50:40 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteAlreadyDeletedBoard"
"Create board with valid name","1986","testCreateBoard","RegressionTests","Sat May 30 22:50:37 UTC 2026","passed","Sat May 30 22:50:39 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoard"
