"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get non-existent board - negative test","96","testGetNonExistentBoard","RegressionTests","Sun Jun 07 22:55:54 UTC 2026","failed","Sun Jun 07 22:55:55 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetNonExistentBoard"
"Delete already deleted board - negative test","868","testDeleteAlreadyDeletedBoard","RegressionTests","Sun Jun 07 22:55:52 UTC 2026","passed","Sun Jun 07 22:55:53 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteAlreadyDeletedBoard"
"Create board with empty name - negative test","105","testCreateBoardWithEmptyName","RegressionTests","Sun Jun 07 22:55:52 UTC 2026","passed","Sun Jun 07 22:55:52 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoardWithEmptyName"
"Read/Get board by ID","412","testGetBoard","RegressionTests","Sun Jun 07 22:55:54 UTC 2026","passed","Sun Jun 07 22:55:54 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetBoard"
"Update board name and description","493","testUpdateBoard","RegressionTests","Sun Jun 07 22:55:55 UTC 2026","passed","Sun Jun 07 22:55:55 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testUpdateBoard"
"Create board with valid name","1950","testCreateBoard","RegressionTests","Sun Jun 07 22:55:50 UTC 2026","passed","Sun Jun 07 22:55:52 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoard"
"Delete board by ID","990","testDeleteBoard","RegressionTests","Sun Jun 07 22:55:53 UTC 2026","passed","Sun Jun 07 22:55:54 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteBoard"
