"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get non-existent board - negative test","113","testGetNonExistentBoard","RegressionTests","Wed Dec 03 22:13:41 UTC 2025","failed","Wed Dec 03 22:13:41 UTC 2025","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetNonExistentBoard"
"Create board with valid name","2021","testCreateBoard","RegressionTests","Wed Dec 03 22:13:36 UTC 2025","passed","Wed Dec 03 22:13:38 UTC 2025","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoard"
"Delete board by ID","1290","testDeleteBoard","RegressionTests","Wed Dec 03 22:13:39 UTC 2025","passed","Wed Dec 03 22:13:41 UTC 2025","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteBoard"
"Update board name and description","555","testUpdateBoard","RegressionTests","Wed Dec 03 22:13:41 UTC 2025","passed","Wed Dec 03 22:13:42 UTC 2025","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testUpdateBoard"
"Read/Get board by ID","443","testGetBoard","RegressionTests","Wed Dec 03 22:13:41 UTC 2025","passed","Wed Dec 03 22:13:41 UTC 2025","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetBoard"
"Create board with empty name - negative test","105","testCreateBoardWithEmptyName","RegressionTests","Wed Dec 03 22:13:38 UTC 2025","passed","Wed Dec 03 22:13:38 UTC 2025","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoardWithEmptyName"
"Delete already deleted board - negative test","986","testDeleteAlreadyDeletedBoard","RegressionTests","Wed Dec 03 22:13:39 UTC 2025","passed","Wed Dec 03 22:13:39 UTC 2025","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteAlreadyDeletedBoard"
