"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Read/Get board by ID","520","testGetBoard","RegressionTests","Sat Mar 21 22:16:14 UTC 2026","passed","Sat Mar 21 22:16:14 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetBoard"
"Get non-existent board - negative test","152","testGetNonExistentBoard","RegressionTests","Sat Mar 21 22:16:14 UTC 2026","failed","Sat Mar 21 22:16:14 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetNonExistentBoard"
"Create board with empty name - negative test","167","testCreateBoardWithEmptyName","RegressionTests","Sat Mar 21 22:16:11 UTC 2026","passed","Sat Mar 21 22:16:11 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoardWithEmptyName"
"Create board with valid name","1991","testCreateBoard","RegressionTests","Sat Mar 21 22:16:09 UTC 2026","passed","Sat Mar 21 22:16:11 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoard"
"Delete board by ID","1047","testDeleteBoard","RegressionTests","Sat Mar 21 22:16:12 UTC 2026","passed","Sat Mar 21 22:16:14 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteBoard"
"Delete already deleted board - negative test","1092","testDeleteAlreadyDeletedBoard","RegressionTests","Sat Mar 21 22:16:11 UTC 2026","passed","Sat Mar 21 22:16:12 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteAlreadyDeletedBoard"
"Update board name and description","729","testUpdateBoard","RegressionTests","Sat Mar 21 22:16:14 UTC 2026","passed","Sat Mar 21 22:16:15 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testUpdateBoard"
