"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get non-existent board - negative test","124","testGetNonExistentBoard","RegressionTests","Fri May 22 22:51:01 UTC 2026","failed","Fri May 22 22:51:01 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetNonExistentBoard"
"Delete board by ID","1342","testDeleteBoard","RegressionTests","Fri May 22 22:50:59 UTC 2026","passed","Fri May 22 22:51:01 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteBoard"
"Create board with empty name - negative test","93","testCreateBoardWithEmptyName","RegressionTests","Fri May 22 22:50:58 UTC 2026","passed","Fri May 22 22:50:58 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoardWithEmptyName"
"Read/Get board by ID","816","testGetBoard","RegressionTests","Fri May 22 22:51:01 UTC 2026","passed","Fri May 22 22:51:01 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetBoard"
"Delete already deleted board - negative test","1027","testDeleteAlreadyDeletedBoard","RegressionTests","Fri May 22 22:50:58 UTC 2026","passed","Fri May 22 22:50:59 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteAlreadyDeletedBoard"
"Create board with valid name","1970","testCreateBoard","RegressionTests","Fri May 22 22:50:56 UTC 2026","passed","Fri May 22 22:50:58 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoard"
"Update board name and description","617","testUpdateBoard","RegressionTests","Fri May 22 22:51:01 UTC 2026","passed","Fri May 22 22:51:02 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testUpdateBoard"
