"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Update board name and description","648","testUpdateBoard","RegressionTests","Fri Mar 20 22:20:05 UTC 2026","passed","Fri Mar 20 22:20:05 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testUpdateBoard"
"Create board with empty name - negative test","103","testCreateBoardWithEmptyName","RegressionTests","Fri Mar 20 22:20:02 UTC 2026","passed","Fri Mar 20 22:20:02 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoardWithEmptyName"
"Create board with valid name","2017","testCreateBoard","RegressionTests","Fri Mar 20 22:20:00 UTC 2026","passed","Fri Mar 20 22:20:02 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoard"
"Delete already deleted board - negative test","1003","testDeleteAlreadyDeletedBoard","RegressionTests","Fri Mar 20 22:20:02 UTC 2026","passed","Fri Mar 20 22:20:03 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteAlreadyDeletedBoard"
"Read/Get board by ID","442","testGetBoard","RegressionTests","Fri Mar 20 22:20:04 UTC 2026","passed","Fri Mar 20 22:20:05 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetBoard"
"Get non-existent board - negative test","97","testGetNonExistentBoard","RegressionTests","Fri Mar 20 22:20:05 UTC 2026","failed","Fri Mar 20 22:20:05 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetNonExistentBoard"
"Delete board by ID","1165","testDeleteBoard","RegressionTests","Fri Mar 20 22:20:03 UTC 2026","passed","Fri Mar 20 22:20:04 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteBoard"
