"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Get non-existent board - negative test","168","testGetNonExistentBoard","RegressionTests","Thu Jul 16 22:50:25 UTC 2026","failed","Thu Jul 16 22:50:25 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetNonExistentBoard"
"Update board name and description","1449","testUpdateBoard","RegressionTests","Thu Jul 16 22:50:25 UTC 2026","passed","Thu Jul 16 22:50:27 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testUpdateBoard"
"Create board with empty name - negative test","173","testCreateBoardWithEmptyName","RegressionTests","Thu Jul 16 22:50:21 UTC 2026","passed","Thu Jul 16 22:50:21 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoardWithEmptyName"
"Delete already deleted board - negative test","1489","testDeleteAlreadyDeletedBoard","RegressionTests","Thu Jul 16 22:50:21 UTC 2026","passed","Thu Jul 16 22:50:22 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteAlreadyDeletedBoard"
"Create board with valid name","2250","testCreateBoard","RegressionTests","Thu Jul 16 22:50:18 UTC 2026","passed","Thu Jul 16 22:50:21 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoard"
"Read/Get board by ID","1199","testGetBoard","RegressionTests","Thu Jul 16 22:50:24 UTC 2026","passed","Thu Jul 16 22:50:25 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetBoard"
"Delete board by ID","1373","testDeleteBoard","RegressionTests","Thu Jul 16 22:50:22 UTC 2026","passed","Thu Jul 16 22:50:24 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteBoard"
