"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Read/Get board by ID","436","testGetBoard","RegressionTests","Mon Jun 08 23:08:05 UTC 2026","passed","Mon Jun 08 23:08:06 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetBoard"
"Get non-existent board - negative test","99","testGetNonExistentBoard","RegressionTests","Mon Jun 08 23:08:06 UTC 2026","failed","Mon Jun 08 23:08:06 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetNonExistentBoard"
"Create board with valid name","1927","testCreateBoard","RegressionTests","Mon Jun 08 23:08:01 UTC 2026","passed","Mon Jun 08 23:08:03 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoard"
"Create board with empty name - negative test","103","testCreateBoardWithEmptyName","RegressionTests","Mon Jun 08 23:08:03 UTC 2026","passed","Mon Jun 08 23:08:03 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoardWithEmptyName"
"Update board name and description","709","testUpdateBoard","RegressionTests","Mon Jun 08 23:08:06 UTC 2026","passed","Mon Jun 08 23:08:07 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testUpdateBoard"
"Delete board by ID","1006","testDeleteBoard","RegressionTests","Mon Jun 08 23:08:04 UTC 2026","passed","Mon Jun 08 23:08:05 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteBoard"
"Delete already deleted board - negative test","994","testDeleteAlreadyDeletedBoard","RegressionTests","Mon Jun 08 23:08:03 UTC 2026","passed","Mon Jun 08 23:08:04 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteAlreadyDeletedBoard"
