"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Delete already deleted board - negative test","1128","testDeleteAlreadyDeletedBoard","RegressionTests","Wed Mar 18 22:25:33 UTC 2026","passed","Wed Mar 18 22:25:34 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteAlreadyDeletedBoard"
"Update board name and description","702","testUpdateBoard","RegressionTests","Wed Mar 18 22:25:36 UTC 2026","passed","Wed Mar 18 22:25:37 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testUpdateBoard"
"Delete board by ID","1149","testDeleteBoard","RegressionTests","Wed Mar 18 22:25:34 UTC 2026","passed","Wed Mar 18 22:25:35 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteBoard"
"Read/Get board by ID","563","testGetBoard","RegressionTests","Wed Mar 18 22:25:35 UTC 2026","passed","Wed Mar 18 22:25:36 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetBoard"
"Get non-existent board - negative test","206","testGetNonExistentBoard","RegressionTests","Wed Mar 18 22:25:36 UTC 2026","failed","Wed Mar 18 22:25:36 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetNonExistentBoard"
"Create board with valid name","2070","testCreateBoard","RegressionTests","Wed Mar 18 22:25:31 UTC 2026","passed","Wed Mar 18 22:25:33 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoard"
"Create board with empty name - negative test","160","testCreateBoardWithEmptyName","RegressionTests","Wed Mar 18 22:25:33 UTC 2026","passed","Wed Mar 18 22:25:33 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoardWithEmptyName"
