"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Delete board by ID","1125","testDeleteBoard","RegressionTests","Fri Feb 27 22:15:55 UTC 2026","passed","Fri Feb 27 22:15:56 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteBoard"
"Get non-existent board - negative test","187","testGetNonExistentBoard","RegressionTests","Fri Feb 27 22:15:57 UTC 2026","failed","Fri Feb 27 22:15:57 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetNonExistentBoard"
"Delete already deleted board - negative test","1199","testDeleteAlreadyDeletedBoard","RegressionTests","Fri Feb 27 22:15:54 UTC 2026","passed","Fri Feb 27 22:15:55 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteAlreadyDeletedBoard"
"Create board with valid name","3299","testCreateBoard","RegressionTests","Fri Feb 27 22:15:50 UTC 2026","passed","Fri Feb 27 22:15:53 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoard"
"Create board with empty name - negative test","161","testCreateBoardWithEmptyName","RegressionTests","Fri Feb 27 22:15:53 UTC 2026","passed","Fri Feb 27 22:15:54 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoardWithEmptyName"
"Update board name and description","697","testUpdateBoard","RegressionTests","Fri Feb 27 22:15:57 UTC 2026","passed","Fri Feb 27 22:15:57 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testUpdateBoard"
"Read/Get board by ID","692","testGetBoard","RegressionTests","Fri Feb 27 22:15:56 UTC 2026","passed","Fri Feb 27 22:15:57 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetBoard"
