"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Delete board by ID","1113","testDeleteBoard","RegressionTests","Fri Apr 10 22:28:25 UTC 2026","passed","Fri Apr 10 22:28:26 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteBoard"
"Create board with empty name - negative test","93","testCreateBoardWithEmptyName","RegressionTests","Fri Apr 10 22:28:24 UTC 2026","passed","Fri Apr 10 22:28:24 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoardWithEmptyName"
"Read/Get board by ID","391","testGetBoard","RegressionTests","Fri Apr 10 22:28:26 UTC 2026","passed","Fri Apr 10 22:28:27 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetBoard"
"Update board name and description","559","testUpdateBoard","RegressionTests","Fri Apr 10 22:28:27 UTC 2026","passed","Fri Apr 10 22:28:27 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testUpdateBoard"
"Create board with valid name","1794","testCreateBoard","RegressionTests","Fri Apr 10 22:28:22 UTC 2026","passed","Fri Apr 10 22:28:24 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoard"
"Delete already deleted board - negative test","895","testDeleteAlreadyDeletedBoard","RegressionTests","Fri Apr 10 22:28:24 UTC 2026","passed","Fri Apr 10 22:28:25 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteAlreadyDeletedBoard"
"Get non-existent board - negative test","80","testGetNonExistentBoard","RegressionTests","Fri Apr 10 22:28:27 UTC 2026","failed","Fri Apr 10 22:28:27 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetNonExistentBoard"
