"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Delete already deleted board - negative test","979","testDeleteAlreadyDeletedBoard","RegressionTests","Mon Dec 29 22:13:14 UTC 2025","passed","Mon Dec 29 22:13:15 UTC 2025","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteAlreadyDeletedBoard"
"Get non-existent board - negative test","126","testGetNonExistentBoard","RegressionTests","Mon Dec 29 22:13:17 UTC 2025","failed","Mon Dec 29 22:13:17 UTC 2025","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetNonExistentBoard"
"Delete board by ID","901","testDeleteBoard","RegressionTests","Mon Dec 29 22:13:15 UTC 2025","passed","Mon Dec 29 22:13:16 UTC 2025","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteBoard"
"Create board with valid name","2458","testCreateBoard","RegressionTests","Mon Dec 29 22:13:12 UTC 2025","passed","Mon Dec 29 22:13:14 UTC 2025","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoard"
"Update board name and description","559","testUpdateBoard","RegressionTests","Mon Dec 29 22:13:17 UTC 2025","passed","Mon Dec 29 22:13:17 UTC 2025","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testUpdateBoard"
"Create board with empty name - negative test","102","testCreateBoardWithEmptyName","RegressionTests","Mon Dec 29 22:13:14 UTC 2025","passed","Mon Dec 29 22:13:14 UTC 2025","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoardWithEmptyName"
"Read/Get board by ID","437","testGetBoard","RegressionTests","Mon Dec 29 22:13:16 UTC 2025","passed","Mon Dec 29 22:13:17 UTC 2025","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetBoard"
