"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Create board with empty name - negative test","87","testCreateBoardWithEmptyName","RegressionTests","Thu May 21 22:58:06 UTC 2026","passed","Thu May 21 22:58:06 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoardWithEmptyName"
"Get non-existent board - negative test","74","testGetNonExistentBoard","RegressionTests","Thu May 21 22:58:08 UTC 2026","failed","Thu May 21 22:58:08 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetNonExistentBoard"
"Update board name and description","706","testUpdateBoard","RegressionTests","Thu May 21 22:58:08 UTC 2026","passed","Thu May 21 22:58:09 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testUpdateBoard"
"Create board with valid name","1950","testCreateBoard","RegressionTests","Thu May 21 22:58:04 UTC 2026","passed","Thu May 21 22:58:06 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoard"
"Delete already deleted board - negative test","963","testDeleteAlreadyDeletedBoard","RegressionTests","Thu May 21 22:58:06 UTC 2026","passed","Thu May 21 22:58:07 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteAlreadyDeletedBoard"
"Delete board by ID","1034","testDeleteBoard","RegressionTests","Thu May 21 22:58:07 UTC 2026","passed","Thu May 21 22:58:08 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteBoard"
"Read/Get board by ID","424","testGetBoard","RegressionTests","Thu May 21 22:58:08 UTC 2026","passed","Thu May 21 22:58:08 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetBoard"
