"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Read/Get board by ID","393","testGetBoard","RegressionTests","Sun Jan 25 22:13:45 UTC 2026","passed","Sun Jan 25 22:13:46 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetBoard"
"Get non-existent board - negative test","89","testGetNonExistentBoard","RegressionTests","Sun Jan 25 22:13:46 UTC 2026","failed","Sun Jan 25 22:13:46 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetNonExistentBoard"
"Delete board by ID","803","testDeleteBoard","RegressionTests","Sun Jan 25 22:13:44 UTC 2026","passed","Sun Jan 25 22:13:45 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteBoard"
"Create board with empty name - negative test","99","testCreateBoardWithEmptyName","RegressionTests","Sun Jan 25 22:13:43 UTC 2026","passed","Sun Jan 25 22:13:43 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoardWithEmptyName"
"Create board with valid name","2638","testCreateBoard","RegressionTests","Sun Jan 25 22:13:41 UTC 2026","passed","Sun Jan 25 22:13:43 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoard"
"Delete already deleted board - negative test","891","testDeleteAlreadyDeletedBoard","RegressionTests","Sun Jan 25 22:13:43 UTC 2026","passed","Sun Jan 25 22:13:44 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteAlreadyDeletedBoard"
"Update board name and description","532","testUpdateBoard","RegressionTests","Sun Jan 25 22:13:46 UTC 2026","passed","Sun Jan 25 22:13:46 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testUpdateBoard"
