"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Delete board by ID","1255","testDeleteBoard","RegressionTests","Thu Mar 12 22:17:24 UTC 2026","passed","Thu Mar 12 22:17:25 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteBoard"
"Create board with valid name","2524","testCreateBoard","RegressionTests","Thu Mar 12 22:17:20 UTC 2026","passed","Thu Mar 12 22:17:23 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoard"
"Create board with empty name - negative test","159","testCreateBoardWithEmptyName","RegressionTests","Thu Mar 12 22:17:23 UTC 2026","passed","Thu Mar 12 22:17:23 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoardWithEmptyName"
"Get non-existent board - negative test","154","testGetNonExistentBoard","RegressionTests","Thu Mar 12 22:17:26 UTC 2026","failed","Thu Mar 12 22:17:26 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetNonExistentBoard"
"Update board name and description","784","testUpdateBoard","RegressionTests","Thu Mar 12 22:17:26 UTC 2026","passed","Thu Mar 12 22:17:27 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testUpdateBoard"
"Read/Get board by ID","539","testGetBoard","RegressionTests","Thu Mar 12 22:17:25 UTC 2026","passed","Thu Mar 12 22:17:26 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetBoard"
"Delete already deleted board - negative test","1154","testDeleteAlreadyDeletedBoard","RegressionTests","Thu Mar 12 22:17:23 UTC 2026","passed","Thu Mar 12 22:17:24 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteAlreadyDeletedBoard"
