"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Read/Get board by ID","449","testGetBoard","RegressionTests","Fri Jan 16 22:14:09 UTC 2026","passed","Fri Jan 16 22:14:10 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetBoard"
"Update board name and description","539","testUpdateBoard","RegressionTests","Fri Jan 16 22:14:10 UTC 2026","passed","Fri Jan 16 22:14:10 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testUpdateBoard"
"Create board with valid name","2357","testCreateBoard","RegressionTests","Fri Jan 16 22:14:05 UTC 2026","passed","Fri Jan 16 22:14:07 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoard"
"Create board with empty name - negative test","106","testCreateBoardWithEmptyName","RegressionTests","Fri Jan 16 22:14:07 UTC 2026","passed","Fri Jan 16 22:14:08 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoardWithEmptyName"
"Get non-existent board - negative test","112","testGetNonExistentBoard","RegressionTests","Fri Jan 16 22:14:10 UTC 2026","failed","Fri Jan 16 22:14:10 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetNonExistentBoard"
"Delete already deleted board - negative test","934","testDeleteAlreadyDeletedBoard","RegressionTests","Fri Jan 16 22:14:08 UTC 2026","passed","Fri Jan 16 22:14:08 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteAlreadyDeletedBoard"
"Delete board by ID","869","testDeleteBoard","RegressionTests","Fri Jan 16 22:14:08 UTC 2026","passed","Fri Jan 16 22:14:09 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteBoard"
