"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Update board name and description","659","testUpdateBoard","RegressionTests","Thu Feb 12 22:23:35 UTC 2026","passed","Thu Feb 12 22:23:35 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testUpdateBoard"
"Create board with valid name","2738","testCreateBoard","RegressionTests","Thu Feb 12 22:23:29 UTC 2026","passed","Thu Feb 12 22:23:32 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoard"
"Read/Get board by ID","395","testGetBoard","RegressionTests","Thu Feb 12 22:23:34 UTC 2026","passed","Thu Feb 12 22:23:34 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetBoard"
"Delete already deleted board - negative test","987","testDeleteAlreadyDeletedBoard","RegressionTests","Thu Feb 12 22:23:32 UTC 2026","passed","Thu Feb 12 22:23:33 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteAlreadyDeletedBoard"
"Delete board by ID","1044","testDeleteBoard","RegressionTests","Thu Feb 12 22:23:33 UTC 2026","passed","Thu Feb 12 22:23:34 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteBoard"
"Create board with empty name - negative test","111","testCreateBoardWithEmptyName","RegressionTests","Thu Feb 12 22:23:32 UTC 2026","passed","Thu Feb 12 22:23:32 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoardWithEmptyName"
"Get non-existent board - negative test","114","testGetNonExistentBoard","RegressionTests","Thu Feb 12 22:23:34 UTC 2026","failed","Thu Feb 12 22:23:35 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetNonExistentBoard"
