"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Delete already deleted board - negative test","966","testDeleteAlreadyDeletedBoard","RegressionTests","Fri Jan 02 22:13:45 UTC 2026","passed","Fri Jan 02 22:13:46 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteAlreadyDeletedBoard"
"Create board with valid name","3009","testCreateBoard","RegressionTests","Fri Jan 02 22:13:41 UTC 2026","passed","Fri Jan 02 22:13:44 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoard"
"Get non-existent board - negative test","102","testGetNonExistentBoard","RegressionTests","Fri Jan 02 22:13:47 UTC 2026","failed","Fri Jan 02 22:13:47 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetNonExistentBoard"
"Read/Get board by ID","419","testGetBoard","RegressionTests","Fri Jan 02 22:13:46 UTC 2026","passed","Fri Jan 02 22:13:47 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testGetBoard"
"Update board name and description","696","testUpdateBoard","RegressionTests","Fri Jan 02 22:13:47 UTC 2026","passed","Fri Jan 02 22:13:48 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testUpdateBoard"
"Delete board by ID","878","testDeleteBoard","RegressionTests","Fri Jan 02 22:13:46 UTC 2026","passed","Fri Jan 02 22:13:46 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testDeleteBoard"
"Create board with empty name - negative test","110","testCreateBoardWithEmptyName","RegressionTests","Fri Jan 02 22:13:44 UTC 2026","passed","Fri Jan 02 22:13:45 UTC 2026","com.trello.tests.BoardTest","TrelloBoardRegression","com.trello.tests.BoardTest","testCreateBoardWithEmptyName"
